Forwarder;Origin CTRY;Dest CTRY;Dest From;Dest To;Zone
ALL;DE;GB;AB;AB;1
ALL;DE;GB;AL;AL;2
ALL;DE;GB;B1;B1;3
ALL;DE;GB;B2;B2;3
ALL;DE;GB;B3;B3;3
ALL;DE;GB;B6;B6;3
ALL;DE;GB;B9;B9;3
ALL;DE;GB;BA;BA;4
ALL;DE;GB;BB;BB;5
ALL;DE;GB;BD;BD;6
ALL;DE;GB;BH;BH;7
ALL;DE;GB;BL;BL;8
ALL;DE;GB;BN;BN;9
ALL;DE;GB;BR;BR;10
ALL;DE;GB;BS;BS;11
ALL;DE;GB;BT;BT;12
ALL;DE;GB;CA;CA;13
ALL;DE;GB;CB;CB;14
ALL;DE;GB;CF;CF;15
ALL;DE;GB;CH;CH;16
ALL;DE;GB;CM;CM;17
ALL;DE;GB;CO;CO;18
ALL;DE;GB;CR;CR;19
ALL;DE;GB;CT;CT;20
ALL;DE;GB;CV;CV;21
ALL;DE;GB;CW;CW;22
ALL;DE;GB;DA;DA;23
ALL;DE;GB;DD;DD;24
ALL;DE;GB;DE;DE;25
ALL;DE;GB;DG;DG;26
ALL;DE;GB;DH;DH;27
ALL;DE;GB;DL;DL;28
ALL;DE;GB;DN;DN;29
ALL;DE;GB;DT;DT;30
ALL;DE;GB;DY;DY;31
ALL;DE;GB;E3;E3;32
ALL;DE;GB;EC;EC;33
ALL;DE;GB;EH;EH;34
ALL;DE;GB;EN;EN;35
ALL;DE;GB;EX;EX;36
ALL;DE;GB;FK;FK;37
ALL;DE;GB;FY;FY;38
ALL;DE;GB;G3;G3;39
ALL;DE;GB;G4;G4;39
ALL;DE;GB;G5;G5;39
ALL;DE;GB;G6;G6;39
ALL;DE;GB;G7;G7;39
ALL;DE;GB;G8;G8;39
ALL;DE;GB;GL;GL;40
ALL;DE;GB;GU;GU;41
ALL;DE;GB;GY;GY;42
ALL;DE;GB;HA;HA;43
ALL;DE;GB;HD;HD;44
ALL;DE;GB;HG;HG;45
ALL;DE;GB;HP;HP;46
ALL;DE;GB;HR;HR;47
ALL;DE;GB;HS;HS;48
ALL;DE;GB;HU;HU;49
ALL;DE;GB;HX;HX;50
ALL;DE;GB;IG;IG;51
ALL;DE;GB;IM;IM;52
ALL;DE;GB;IP;IP;53
ALL;DE;GB;IV;IV;54
ALL;DE;GB;JE;JE;55
ALL;DE;GB;KA;KA;56
